#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,exchange,symbol,timeframe
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-31T13:02:42.888Z,118481.29300000002,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-31T17:50:52.89Z,118162.94999999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-07-31T22:39:02.892Z,116843.41100000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-01T03:27:12.894Z,115684.47222222222,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-01T08:15:22.896Z,115279.403,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-01T13:03:32.898Z,115189.62700000001,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-01T17:51:42.9Z,115061.56444444443,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-01T22:39:52.902Z,113664.45599999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-02T03:28:02.904Z,113624.52666666667,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-02T08:16:12.906Z,113901.271,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-02T13:04:22.908Z,113655.823,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-02T17:52:32.91Z,113123.14666666667,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-02T22:40:42.912Z,112575.89499999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-03T03:28:52.914Z,112987.14333333331,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-03T08:17:02.916Z,113600.938,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-03T13:05:12.918Z,113818.173,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-03T17:53:22.92Z,113909.6788888889,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-03T22:41:32.922Z,114350.08599999998,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-04T03:29:42.924Z,114603.22666666665,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-04T08:17:52.926Z,114445.87,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-04T13:06:02.928Z,114403.851,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-04T17:54:12.93Z,115065.61222222222,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-04T22:42:22.932Z,114998.225,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-05T03:30:32.934Z,114766.91699999999,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-05T08:18:42.936Z,114288.82555555555,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-05T13:06:52.938Z,114572.42,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-05T17:55:02.94Z,113331.78777777776,close,prices,binance,BTCUSDT,30m
,,0,2025-07-15T15:45:02Z,2025-09-25T16:45:02.889Z,2025-08-05T22:43:12.942Z,113728.26000000001,close,prices,binance,BTCUSDT,30m
