id,symbol,timeframe,ts,open,high,low,close,volume,source,created_at,updated_at
87680,BTCUSDT,30m,1755657000,113309.1,113505.1,113301.0,113442.0,35.90424861,influx,1758693316000,1758693316000
87679,BTCUSDT,30m,1755655200,113006.1,113325.1,112970.2,113309.2,128.47536994,influx,1758693316000,1758693316000
87678,BTCUSDT,30m,1755653400,112939.5,113126.9,112580.0,113006.0,190.94122154,influx,1758693316000,1758693316000
87677,BTCUSDT,30m,1755651600,113220.6,113401.6,112919.4,112939.5,149.00065467,influx,1758693316000,1758693316000
87676,BTCUSDT,30m,1755649800,112998.0,113312.2,112960.4,113220.6,94.83886374,influx,1758693316000,1758693316000
87675,BTCUSDT,30m,1755648000,112879.9,113276.9,112850.1,113000.2,81.43941698,influx,1758693316000,1758693316000
87674,BTCUSDT,30m,1755646200,112934.9,113150.1,112744.3,112880.0,75.06003159,influx,1758693316000,1758693316000
87673,BTCUSDT,30m,1755644400,113174.9,113193.0,112850.9,112937.7,73.47800575,influx,1758693316000,1758693316000
87672,BTCUSDT,30m,1755642600,113295.5,113330.0,113075.0,113174.9,78.48227791,influx,1758693316000,1758693316000
87671,BTCUSDT,30m,1755640800,113420.2,113444.0,113083.1,113295.5,80.99769476,influx,1758693316000,1758693316000
87670,BTCUSDT,30m,1755639000,113514.3,113559.4,113420.1,113420.2,24.89703389,influx,1758693316000,1758693316000
87669,BTCUSDT,30m,1755637200,113563.9,113585.0,113474.0,113514.3,42.47736619,influx,1758693316000,1758693316000
87668,BTCUSDT,30m,1755635400,113306.0,113563.8,113306.0,113563.8,70.60375627,influx,1758693316000,1758693316000
87667,BTCUSDT,30m,1755633600,113133.7,113321.4,112935.3,113305.9,113.02084242,influx,1758693316000,1758693316000
87666,BTCUSDT,30m,1755631800,113401.1,113546.0,113092.8,113133.7,129.78644466,influx,1758693316000,1758693316000
87665,BTCUSDT,30m,1755630000,113070.0,113433.2,112820.4,113401.0,257.22194929,influx,1758693316000,1758693316000
87664,BTCUSDT,30m,1755628200,113251.4,113255.0,112833.0,113070.0,153.18633696,influx,1758693316000,1758693316000
87663,BTCUSDT,30m,1755626400,113524.1,113524.1,113251.4,113251.4,85.6984042,influx,1758693316000,1758693316000
87662,BTCUSDT,30m,1755624600,113426.0,113576.1,113302.2,113524.2,141.51844019,influx,1758693316000,1758693316000
87661,BTCUSDT,30m,1755622800,113388.3,113489.4,113081.3,113427.1,114.75674985,influx,1758693316000,1758693316000
87660,BTCUSDT,30m,1755621000,113642.9,113820.7,113339.6,113391.6,161.96772418,influx,1758693316000,1758693316000
87659,BTCUSDT,30m,1755619200,113769.7,113879.9,113638.6,113642.9,141.61229193,influx,1758693316000,1758693316000
87658,BTCUSDT,30m,1755617400,114076.1,114147.3,113736.9,113769.1,139.47376055,influx,1758693316000,1758693316000
87657,BTCUSDT,30m,1755615600,113893.1,114177.7,113577.1,114076.1,175.05603055,influx,1758693316000,1758693316000
87656,BTCUSDT,30m,1755613800,114139.0,114500.1,113777.0,113893.0,269.22046938,influx,1758693316000,1758693316000
87655,BTCUSDT,30m,1755612000,115182.8,115370.1,114125.3,114139.1,133.37127374,influx,1758693316000,1758693316000
87654,BTCUSDT,30m,1755610200,115746.8,115875.7,114895.2,115181.8,204.97674731,influx,1758693316000,1758693316000
87653,BTCUSDT,30m,1755608400,115592.2,115781.7,115508.9,115746.6,89.43741411,influx,1758693316000,1758693316000
87652,BTCUSDT,30m,1755606600,115518.6,115592.1,115286.4,115592.1,52.67607826,influx,1758693316000,1758693316000
87651,BTCUSDT,30m,1755604800,115517.5,115600.0,115420.3,115518.6,67.02967621,influx,1758693316000,1758693316000
87650,BTCUSDT,30m,1755603000,115577.0,115583.2,115476.0,115517.5,38.60866495,influx,1758693316000,1758693316000
87649,BTCUSDT,30m,1755601200,115393.1,115646.5,115393.1,115577.8,38.60654615,influx,1758693316000,1758693316000
87648,BTCUSDT,30m,1755599400,115517.1,115534.4,115327.9,115392.1,37.32943351,influx,1758693316000,1758693316000
87647,BTCUSDT,30m,1755597600,115324.0,115578.0,115320.9,115517.1,38.70956219,influx,1758693316000,1758693316000
